payment_id,grant_case_id,child_citizen_id,child_first_name,child_last_name,child_gender,child_birth_date,guardian_citizen_id,guardian_first_name,guardian_last_name,guardian_relationship,application_date,approval_date,entitlement_start_date,payment_date,payment_round,payment_amount,payment_status,payment_method,household_member_count,household_income_per_capita,registration_channel,province,district,agency
NCGPAY00120,NCG00120,3879640882302,ธนกฤต,วิริยะกุล,ชาย,2020-04-16,5565278476865,วชิรวิทย์,วงศ์คำ,มารดา,2020-08-31,2020-09-11,2020-09-11,2020-10-08,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,2,2500,ลงทะเบียน ณ หน่วยรับลงทะเบียน,อุดรธานี,เมือง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดอุดรธานี
NCGPAY00297,NCG00093,2990806311485,อัครเดช,มีทรัพย์,ชาย,2020-04-27,1405711392683,พรทิพย์,นิ่มนวล,มารดา,2020-07-23,2020-08-07,2020-08-07,2020-10-12,2,600,จ่ายสำเร็จ,พร้อมเพย์,7,9000,ระบบออนไลน์,จันทบุรี,เมือง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดจันทบุรี
NCGPAY00337,NCG00162,1620065429781,อชิระ,สุขใจ,หญิง,2020-01-25,1744431001222,กัญญารัตน์,เรืองฤทธิ์,บิดา,2020-07-19,2020-08-16,2020-08-16,2020-10-12,2,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,7,6000,ระบบออนไลน์,นนทบุรี,บางบัวทอง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดนนทบุรี
NCGPAY00125,NCG00125,6378855742538,พชรพล,บุญมี,ชาย,2020-08-25,4216914983110,เกศรินทร์,อ่อนละมุน,บิดา,2020-10-12,2020-10-17,2020-10-17,2020-10-18,1,600,จ่ายสำเร็จ,พร้อมเพย์,3,12000,ระบบออนไลน์,แพร่,ศรีพัฒนา,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดแพร่
NCGPAY00189,NCG00189,8060391396078,ณฐกร,บัวทอง,หญิง,2020-01-22,7231642354347,พิมพ์ชนก,ธรรมรักษ์,มารดา,2020-09-01,2020-09-18,2020-09-18,2020-10-19,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,3,7750,หน่วยบริการเคลื่อนที่,ตรัง,หนองกลาง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดตรัง
NCGPAY00425,NCG00254,7266682994163,วชิรวิทย์,ตั้งมั่น,ชาย,2020-06-14,6039680477966,ธิดารัตน์,ทองอินทร์,บิดา,2020-08-18,2020-09-07,2020-09-07,2020-10-21,2,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,5,15000,หน่วยบริการเคลื่อนที่,ปราจีนบุรี,ทุ่งสุข,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดปราจีนบุรี
NCGPAY00395,NCG00047,3621235436062,พีรวิชญ์,วงศ์คำ,หญิง,2020-07-08,8717661282487,พิมพ์ชนก,คงมั่น,มารดา,2020-08-29,2020-09-19,2020-09-19,2020-10-23,2,600,จ่ายสำเร็จ,พร้อมเพย์,4,12000,ลงทะเบียน ณ หน่วยรับลงทะเบียน,สกลนคร,บ้านใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสกลนคร
NCGPAY00055,NCG00055,8771635947501,นราวิชญ์,มั่นคง,หญิง,2020-05-17,2763325602835,ณัฐวุฒิ,สุขใจ,บิดา,2020-09-16,2020-09-24,2020-09-24,2020-10-25,1,1800,จ่ายย้อนหลังรวมหลายงวด,โอนเข้าบัญชีธนาคาร,4,2000,ระบบออนไลน์,ขอนแก่น,บ้านไผ่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดขอนแก่น
NCGPAY00279,NCG00279,6162381483215,นันทนา,เข็มทอง,หญิง,2020-08-28,2351403231447,พรทิพย์,สุทธิวงศ์,มารดา,2020-09-17,2020-10-17,2020-10-17,2020-10-27,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,5,11750,ระบบออนไลน์,ชลบุรี,ศรีราชา,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดชลบุรี
NCGPAY00375,NCG00120,3879640882302,ธนกฤต,วิริยะกุล,ชาย,2020-04-16,5565278476865,วชิรวิทย์,วงศ์คำ,มารดา,2020-08-31,2020-09-11,2020-09-11,2020-11-05,2,600,จ่ายสำเร็จ,พร้อมเพย์,2,2500,ลงทะเบียน ณ หน่วยรับลงทะเบียน,อุดรธานี,เมือง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดอุดรธานี
NCGPAY00316,NCG00093,2990806311485,อัครเดช,มีทรัพย์,ชาย,2020-04-27,1405711392683,พรทิพย์,นิ่มนวล,มารดา,2020-07-23,2020-08-07,2020-08-07,2020-11-13,3,600,จ่ายสำเร็จ,พร้อมเพย์,7,9000,ระบบออนไลน์,จันทบุรี,เมือง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดจันทบุรี
NCGPAY00129,NCG00129,3153053576213,ธนดล,สุนทรวงศ์,ชาย,2020-02-10,4649540570562,ปวีณา,กุลวงศ์,บิดา,2020-10-04,2020-10-22,2020-10-22,2020-11-16,1,600,จ่ายสำเร็จ,พร้อมเพย์,4,8750,เจ้าหน้าที่ช่วยลงทะเบียน,สงขลา,เมืองสงขลา,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสงขลา
NCGPAY00149,NCG00149,3402808904127,วราภรณ์,วงศ์คำ,หญิง,2020-08-12,3204662753417,พัชราภา,สิงห์ทอง,มารดา,2020-10-31,2020-11-04,2020-11-04,2020-11-19,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,5,7500,ลงทะเบียน ณ หน่วยรับลงทะเบียน,สุพรรณบุรี,คลองใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสุพรรณบุรี
NCGPAY00481,NCG00047,3621235436062,พีรวิชญ์,วงศ์คำ,หญิง,2020-07-08,8717661282487,พิมพ์ชนก,คงมั่น,มารดา,2020-08-29,2020-09-19,2020-09-19,2020-11-27,3,600,จ่ายสำเร็จ,พร้อมเพย์,4,12000,ลงทะเบียน ณ หน่วยรับลงทะเบียน,สกลนคร,บ้านใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสกลนคร
NCGPAY00403,NCG00279,6162381483215,นันทนา,เข็มทอง,หญิง,2020-08-28,2351403231447,พรทิพย์,สุทธิวงศ์,มารดา,2020-09-17,2020-10-17,2020-10-17,2020-11-29,2,600,จ่ายสำเร็จ,พร้อมเพย์,5,11750,ระบบออนไลน์,ชลบุรี,ศรีราชา,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดชลบุรี
NCGPAY00277,NCG00277,1832015363981,อริสรา,ทองดี,หญิง,2020-08-15,4852705255490,ศิริพร,ชูศรี,บิดา,2020-10-11,2020-11-04,2020-11-04,2020-12-05,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,7,13000,หน่วยบริการเคลื่อนที่,อุดรธานี,คลองใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดอุดรธานี
NCGPAY00234,NCG00234,6154240759810,ภูวดล,ไชยวงศ์,ชาย,2020-09-03,8855215539128,ศุภชัย,ยอดแก้ว,มารดา,2020-10-11,2020-11-09,2020-11-09,2020-12-11,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,7,15000,ระบบออนไลน์,พัทลุง,คลองใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดพัทลุง
NCGPAY00429,NCG00129,3153053576213,ธนดล,สุนทรวงศ์,ชาย,2020-02-10,4649540570562,ปวีณา,กุลวงศ์,บิดา,2020-10-04,2020-10-22,2020-10-22,2020-12-18,2,600,จ่ายสำเร็จ,พร้อมเพย์,4,8750,เจ้าหน้าที่ช่วยลงทะเบียน,สงขลา,เมืองสงขลา,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสงขลา
NCGPAY00260,NCG00260,4046911018989,วชิรวิทย์,พูนทรัพย์,หญิง,2020-09-17,3878180074134,กิตติพงศ์,บุญเกิด,ผู้ปกครองโดยชอบด้วยกฎหมาย,2020-11-25,2020-12-25,2020-12-25,2021-01-02,1,600,จ่ายสำเร็จ,พร้อมเพย์,2,14500,ระบบออนไลน์,ลำปาง,ศรีพัฒนา,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดลำปาง
NCGPAY00463,NCG00277,1832015363981,อริสรา,ทองดี,หญิง,2020-08-15,4852705255490,ศิริพร,ชูศรี,บิดา,2020-10-11,2020-11-04,2020-11-04,2021-01-04,2,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,7,13000,หน่วยบริการเคลื่อนที่,อุดรธานี,คลองใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดอุดรธานี
NCGPAY00185,NCG00185,8947118853604,ณฐกร,สุนทรวงศ์,หญิง,2020-06-16,5070553985800,ศิวกร,ภูมิใจ,มารดา,2020-11-22,2020-12-11,2020-12-11,2021-01-06,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,5,9000,เจ้าหน้าที่ช่วยลงทะเบียน,นนทบุรี,บางใหญ่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดนนทบุรี
NCGPAY00057,NCG00057,6631677191388,ปุณณภา,พิทักษ์วงศ์,หญิง,2020-07-07,3712589832646,ชยพล,เกษมสุข,มารดา,2020-11-11,2020-12-06,2020-12-06,2021-01-08,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,5,8750,ระบบออนไลน์,นครสวรรค์,ศรีพัฒนา,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดนครสวรรค์
NCGPAY00302,NCG00234,6154240759810,ภูวดล,ไชยวงศ์,ชาย,2020-09-03,8855215539128,ศุภชัย,ยอดแก้ว,มารดา,2020-10-11,2020-11-09,2020-11-09,2021-01-11,2,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,7,15000,ระบบออนไลน์,พัทลุง,คลองใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดพัทลุง
NCGPAY00112,NCG00112,3615783861595,ภาคิน,ชัยมงคล,ชาย,2020-07-09,3150521013473,วรัญญา,พิทักษ์วงศ์,มารดา,2020-12-21,2020-12-29,2020-12-29,2021-01-19,1,1800,จ่ายย้อนหลังรวมหลายงวด,โอนเข้าบัญชีธนาคาร,6,7500,ลงทะเบียน ณ หน่วยรับลงทะเบียน,พระนครศรีอยุธยา,เมือง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดพระนครศรีอยุธยา
NCGPAY00229,NCG00229,7739968094391,สุภาวดี,ธนากุล,ชาย,2020-06-23,8630586817476,กิตติพงศ์,ใจดี,มารดา,2020-12-15,2021-01-06,2021-01-06,2021-01-19,1,1800,จ่ายย้อนหลังรวมหลายงวด,โอนเข้าบัญชีธนาคาร,5,3750,ระบบออนไลน์,สมุทรสาคร,ศรีพัฒนา,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสมุทรสาคร
NCGPAY00015,NCG00015,6383107628677,ศุภลักษณ์,ชูศรี,หญิง,2020-11-25,2688860530653,กมลชนก,รุ่งเรือง,ผู้ปกครองโดยชอบด้วยกฎหมาย,2021-01-12,2021-01-24,2021-01-24,2021-01-30,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,7,4500,หน่วยบริการเคลื่อนที่,ปทุมธานี,ลำลูกกา,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดปทุมธานี
NCGPAY00471,NCG00277,1832015363981,อริสรา,ทองดี,หญิง,2020-08-15,4852705255490,ศิริพร,ชูศรี,บิดา,2020-10-11,2020-11-04,2020-11-04,2021-02-03,3,600,จ่ายสำเร็จ,พร้อมเพย์,7,13000,หน่วยบริการเคลื่อนที่,อุดรธานี,คลองใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดอุดรธานี
NCGPAY00324,NCG00234,6154240759810,ภูวดล,ไชยวงศ์,ชาย,2020-09-03,8855215539128,ศุภชัย,ยอดแก้ว,มารดา,2020-10-11,2020-11-09,2020-11-09,2021-02-10,3,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,7,15000,ระบบออนไลน์,พัทลุง,คลองใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดพัทลุง
NCGPAY00356,NCG00057,6631677191388,ปุณณภา,พิทักษ์วงศ์,หญิง,2020-07-07,3712589832646,ชยพล,เกษมสุข,มารดา,2020-11-11,2020-12-06,2020-12-06,2021-02-10,2,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,5,8750,ระบบออนไลน์,นครสวรรค์,ศรีพัฒนา,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดนครสวรรค์
NCGPAY00034,NCG00034,8147042507422,นิตยา,โพธิ์ทอง,ชาย,2020-06-06,6495612992918,พัชราภา,นิลแก้ว,บิดา,2020-12-28,2021-01-13,2021-01-13,2021-02-15,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,3,7250,ระบบออนไลน์,สงขลา,สะเดา,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสงขลา
NCGPAY00483,NCG00112,3615783861595,ภาคิน,ชัยมงคล,ชาย,2020-07-09,3150521013473,วรัญญา,พิทักษ์วงศ์,มารดา,2020-12-21,2020-12-29,2020-12-29,2021-02-19,2,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,6,7500,ลงทะเบียน ณ หน่วยรับลงทะเบียน,พระนครศรีอยุธยา,เมือง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดพระนครศรีอยุธยา
NCGPAY00026,NCG00026,4543437896570,กัญญารัตน์,มีทรัพย์,หญิง,2020-07-20,7714071128675,อภิญญา,พรมศรี,บิดา,2020-12-29,2021-01-18,2021-01-18,2021-02-21,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,2,2000,หน่วยบริการเคลื่อนที่,นครราชสีมา,ปากช่อง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดนครราชสีมา
NCGPAY00106,NCG00106,8601658106211,ธนภัทร,ศรีสง่า,หญิง,2020-09-19,8561834889023,ศิรินภา,เมืองแก้ว,มารดา,2021-02-02,2021-02-10,2021-02-10,2021-02-26,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,5,5750,ลงทะเบียน ณ หน่วยรับลงทะเบียน,นครศรีธรรมราช,คลองใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดนครศรีธรรมราช
NCGPAY00290,NCG00015,6383107628677,ศุภลักษณ์,ชูศรี,หญิง,2020-11-25,2688860530653,กมลชนก,รุ่งเรือง,ผู้ปกครองโดยชอบด้วยกฎหมาย,2021-01-12,2021-01-24,2021-01-24,2021-03-01,2,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,7,4500,หน่วยบริการเคลื่อนที่,ปทุมธานี,ลำลูกกา,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดปทุมธานี
NCGPAY00257,NCG00257,6261496688331,ณัฐธิดา,แสงเพชร,หญิง,2021-01-01,8264653465243,จิราภรณ์,บัวแก้ว,บิดา,2021-02-11,2021-02-27,2021-02-27,2021-03-03,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,6,2250,เจ้าหน้าที่ช่วยลงทะเบียน,นราธิวาส,คลองใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดนราธิวาส
NCGPAY00061,NCG00061,4598003894962,สุชาดา,วัฒนชัย,หญิง,2020-07-10,7226775044319,วรัญญา,บุญเกิด,มารดา,2021-01-26,2021-02-08,2021-02-08,2021-03-05,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,3,10250,หน่วยบริการเคลื่อนที่,ฉะเชิงเทรา,หนองกลาง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดฉะเชิงเทรา
NCGPAY00259,NCG00259,7217531176802,นราวิชญ์,สวัสดิผล,หญิง,2020-07-19,4342312054167,นภัสสร,นาคทอง,บิดา,2021-02-02,2021-02-07,2021-02-07,2021-03-10,1,600,จ่ายสำเร็จ,พร้อมเพย์,5,5750,เจ้าหน้าที่ช่วยลงทะเบียน,ยะลา,คลองใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดยะลา
NCGPAY00306,NCG00034,8147042507422,นิตยา,โพธิ์ทอง,ชาย,2020-06-06,6495612992918,พัชราภา,นิลแก้ว,บิดา,2020-12-28,2021-01-13,2021-01-13,2021-03-22,2,1200,จ่ายย้อนหลังรวมหลายงวด,พร้อมเพย์,3,7250,ระบบออนไลน์,สงขลา,สะเดา,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสงขลา
NCGPAY00474,NCG00026,4543437896570,กัญญารัตน์,มีทรัพย์,หญิง,2020-07-20,7714071128675,อภิญญา,พรมศรี,บิดา,2020-12-29,2021-01-18,2021-01-18,2021-03-22,2,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,2,2000,หน่วยบริการเคลื่อนที่,นครราชสีมา,ปากช่อง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดนครราชสีมา
NCGPAY00294,NCG00106,8601658106211,ธนภัทร,ศรีสง่า,หญิง,2020-09-19,8561834889023,ศิรินภา,เมืองแก้ว,มารดา,2021-02-02,2021-02-10,2021-02-10,2021-03-26,2,600,จ่ายสำเร็จ,พร้อมเพย์,5,5750,ลงทะเบียน ณ หน่วยรับลงทะเบียน,นครศรีธรรมราช,คลองใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดนครศรีธรรมราช
NCGPAY00218,NCG00218,4285272977581,วนิดา,เข็มทอง,หญิง,2020-10-02,2059499672164,ศุภชัย,ประเสริฐศรี,มารดา,2021-03-08,2021-03-11,2021-03-11,2021-03-29,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,3,1750,ลงทะเบียน ณ หน่วยรับลงทะเบียน,นครราชสีมา,ปากช่อง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดนครราชสีมา
NCGPAY00322,NCG00257,6261496688331,ณัฐธิดา,แสงเพชร,หญิง,2021-01-01,8264653465243,จิราภรณ์,บัวแก้ว,บิดา,2021-02-11,2021-02-27,2021-02-27,2021-04-07,2,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,6,2250,เจ้าหน้าที่ช่วยลงทะเบียน,นราธิวาส,คลองใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดนราธิวาส
NCGPAY00439,NCG00034,8147042507422,นิตยา,โพธิ์ทอง,ชาย,2020-06-06,6495612992918,พัชราภา,นิลแก้ว,บิดา,2020-12-28,2021-01-13,2021-01-13,2021-04-19,3,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,3,7250,ระบบออนไลน์,สงขลา,สะเดา,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสงขลา
NCGPAY00450,NCG00106,8601658106211,ธนภัทร,ศรีสง่า,หญิง,2020-09-19,8561834889023,ศิรินภา,เมืองแก้ว,มารดา,2021-02-02,2021-02-10,2021-02-10,2021-04-24,3,1800,จ่ายย้อนหลังรวมหลายงวด,โอนเข้าบัญชีธนาคาร,5,5750,ลงทะเบียน ณ หน่วยรับลงทะเบียน,นครศรีธรรมราช,คลองใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดนครศรีธรรมราช
