payment_id,case_id,citizen_id,first_name,last_name,gender,birth_date,target_group,welfare_type,assistance_reason,request_date,approval_date,payment_date,approved_amount,paid_amount,payment_method,payment_status,payment_round,fund_source,province,district,agency,request_year,request_month,request_ym,approval_year,approval_month,approval_ym,payment_year,payment_month,payment_ym,days_to_approval,days_to_payment,approval_to_payment_days,age_at_request,age_group,payment_pct,unpaid_amount,region,province_en,province_id
PAY00014,SOC00209,7996579409231,กฤษฎา,วัฒนกุล,ชาย,1975-04-28,คนพิการ,เงินสงเคราะห์คนพิการ,มีค่าใช้จ่ายด้านสุขภาพ,2025-03-31,2025-04-09,2025-04-13,3500,2500,พร้อมเพย์,จ่ายบางส่วน,1,เงินสำรองเพื่อกรณีฉุกเฉิน,พิษณุโลก,ศรีพัฒนา,บ้านพักเด็กและครอบครัว,2025,3,2025-03,2025,4,2025-04,2025,4,2025-04,9,13,4,49,วัยแรงงานตอนกลาง (36-59),71.43,1000,ภาคกลาง,Phitsanulok,53
PAY00015,SOC00435,7622134403618,จุฑามาศ,คงมั่น,ชาย,2015-06-21,เด็กและเยาวชน,เงินสงเคราะห์คนพิการ,ครอบครัวประสบเหตุฉุกเฉิน,2026-08-16,2026-08-24,2026-08-24,4000,1000,พร้อมเพย์,รอจ่ายงวดถัดไป,1,งบดำเนินงานของหน่วยงาน,นนทบุรี,เมืองนนทบุรี,ศูนย์คุ้มครองคนไร้ที่พึ่ง,2026,8,2026-08,2026,8,2026-08,2026,8,2026-08,8,8,0,11,เด็กและเยาวชน (<18),25.0,3000,ภาคกลาง,Nonthaburi,3
PAY00016,SOC00335,1698987571443,ปราณี,เจริญผล,ชาย,1979-05-14,ผู้มีรายได้น้อย,เงินสงเคราะห์เด็กในครอบครัวยากจน,มีภาระหนี้สินและค่าใช้จ่ายจำเป็น,2026-07-17,2026-07-28,2026-07-28,9500,3000,โอนเข้าบัญชีธนาคาร,จ่ายบางส่วน,1,เงินกองทุนส่งเสริมการจัดสวัสดิการสังคม,ยะลา,บ้านใหม่,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ,2026,7,2026-07,2026,7,2026-07,2026,7,2026-07,11,11,0,47,วัยแรงงานตอนกลาง (36-59),31.58,6500,ภาคใต้,Yala,76
PAY00017,SOC00309,5045662977004,กาญจนา,มงคลชัย,ชาย,2006-05-12,ผู้มีรายได้น้อย,เงินสงเคราะห์ผู้สูงอายุในภาวะยากลำบาก,ขาดผู้ดูแลและรายได้,2025-12-14,2025-12-26,2025-12-29,3500,1000,เงินสดผ่านหน่วยงาน,รอจ่ายงวดถัดไป,1,งบดำเนินงานของหน่วยงาน,กรุงเทพมหานคร,บางกะปิ,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด,2025,12,2025-12,2025,12,2025-12,2025,12,2025-12,12,15,3,19,วัยแรงงานตอนต้น (18-35),28.57,2500,ภาคกลาง,Bangkok,1
PAY00018,SOC00165,2416387552781,ปกรณ์,คำแสน,ชาย,1980-01-16,ผู้มีรายได้น้อย,เงินสงเคราะห์เด็กในครอบครัวยากจน,ครอบครัวประสบเหตุฉุกเฉิน,2022-02-09,2022-02-10,2022-02-18,3000,1500,เงินสดผ่านหน่วยงาน,จ่ายบางส่วน,1,เงินกองทุนส่งเสริมการจัดสวัสดิการสังคม,นราธิวาส,เมือง,บ้านพักเด็กและครอบครัว,2022,2,2022-02,2022,2,2022-02,2022,2,2022-02,1,9,8,42,วัยแรงงานตอนกลาง (36-59),50.0,1500,ภาคใต้,Narathiwat,77
PAY00019,SOC00097,2016140203933,กฤษฎา,เจริญผล,ชาย,2023-12-05,เด็กและเยาวชน,เงินสงเคราะห์ครอบครัวผู้มีรายได้น้อยและผู้ไร้ที่พึ่ง,ขาดรายได้สำหรับค่าใช้จ่ายจำเป็น,2023-10-01,2023-10-06,2023-10-08,8000,8000,พร้อมเพย์,จ่ายครบแล้ว,1,งบดำเนินงานของหน่วยงาน,สมุทรสาคร,บ้านใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด,2023,10,2023-10,2023,10,2023-10,2023,10,2023-10,5,7,2,0,เด็กและเยาวชน (<18),100.0,0,ภาคกลาง,Samut Sakhon,60
PAY00020,SOC00295,4974925388431,สุชาดา,นิ่มนวล,ชาย,2003-09-12,ผู้มีรายได้น้อย,เงินสงเคราะห์ผู้สูงอายุในภาวะยากลำบาก,ว่างงานหรือรายได้ลดลง,2022-06-30,2022-07-03,2022-07-06,8500,7500,เงินสดผ่านหน่วยงาน,จ่ายบางส่วน,1,เงินสำรองเพื่อกรณีฉุกเฉิน,ลำปาง,ทุ่งสุข,ศูนย์คุ้มครองคนไร้ที่พึ่ง,2022,6,2022-06,2022,7,2022-07,2022,7,2022-07,3,6,3,18,วัยแรงงานตอนต้น (18-35),88.24,1000,ภาคเหนือ,Lampang,41
PAY00021,SOC00477,3352295168467,ชนิดา,จำปาแก้ว,หญิง,2020-07-02,เด็กและเยาวชน,เงินช่วยเหลือด้านที่อยู่อาศัย,ครอบครัวประสบเหตุฉุกเฉิน,2023-06-13,2023-06-14,2023-06-20,15000,1500,พร้อมเพย์,รอจ่ายงวดถัดไป,1,งบดำเนินงานของหน่วยงาน,ชลบุรี,เมืองชลบุรี,ศูนย์คุ้มครองคนไร้ที่พึ่ง,2023,6,2023-06,2023,6,2023-06,2023,6,2023-06,1,7,6,2,เด็กและเยาวชน (<18),10.0,13500,ภาคตะวันออก,Chon Buri,11
PAY00022,SOC00454,1662630763628,ชยุต,ร่มเย็น,หญิง,1988-10-04,ผู้มีรายได้น้อย,เงินสงเคราะห์ครอบครัวผู้มีรายได้น้อยและผู้ไร้ที่พึ่ง,มีค่าใช้จ่ายด้านสุขภาพ,2025-08-23,2025-09-04,2025-09-13,2500,500,โอนเข้าบัญชีธนาคาร,จ่ายบางส่วน,1,งบดำเนินงานของหน่วยงาน,ภูเก็ต,กะทู้,บ้านพักเด็กและครอบครัว,2025,8,2025-08,2025,9,2025-09,2025,9,2025-09,12,21,9,36,วัยแรงงานตอนกลาง (36-59),20.0,2000,ภาคใต้,Phuket,67
PAY00023,SOC00424,4064175905122,สิทธิโชค,ประเสริฐศรี,หญิง,2025-10-07,เด็กและเยาวชน,เงินสงเคราะห์ผู้สูงอายุในภาวะยากลำบาก,ประสบปัญหาค่าครองชีพ,2024-06-26,2024-06-28,2024-07-06,10000,10000,พร้อมเพย์,จ่ายครบแล้ว,1,งบดำเนินงานของหน่วยงาน,นครสวรรค์,คลองใหม่,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ,2024,6,2024-06,2024,6,2024-06,2024,7,2024-07,2,10,8,-1,เด็กและเยาวชน (<18),100.0,0,ภาคกลาง,Nakhon Sawan,48
PAY00024,SOC00055,5874525905810,ภาคิน,วงศ์คำ,ชาย,1957-03-05,ผู้มีรายได้น้อย,เงินสงเคราะห์ครอบครัวผู้มีรายได้น้อยและผู้ไร้ที่พึ่ง,ที่อยู่อาศัยไม่เหมาะสม,2023-11-06,2023-11-14,2023-11-15,2500,2000,พร้อมเพย์,จ่ายบางส่วน,1,เงินสำรองเพื่อกรณีฉุกเฉิน,พิจิตร,ทุ่งสุข,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด,2023,11,2023-11,2023,11,2023-11,2023,11,2023-11,8,9,1,66,ผู้สูงอายุ (60+),80.0,500,ภาคกลาง,Phichit,54
PAY00025,SOC00315,6977211830230,ภาคิน,นิ่มนวล,ชาย,1956-09-06,ผู้มีรายได้น้อย,เงินสงเคราะห์ผู้สูงอายุในภาวะยากลำบาก,มีค่าใช้จ่ายด้านสุขภาพ,2024-05-23,2024-05-30,2024-06-01,3000,1000,เงินสดผ่านหน่วยงาน,รอจ่ายงวดถัดไป,1,งบประมาณรายจ่ายประจำปี,สงขลา,เมืองสงขลา,ศูนย์คุ้มครองคนไร้ที่พึ่ง,2024,5,2024-05,2024,5,2024-05,2024,6,2024-06,7,9,2,67,ผู้สูงอายุ (60+),33.33,2000,ภาคใต้,Songkhla,71
PAY00026,SOC00023,7099437880414,ขวัญฤดี,ทองมาก,ชาย,1975-08-05,ผู้ประสบปัญหาทางสังคมทั่วไป,เงินสงเคราะห์คนพิการ,ว่างงานหรือรายได้ลดลง,2026-04-29,2026-04-30,2026-05-05,3500,3500,โอนเข้าบัญชีธนาคาร,จ่ายครบแล้ว,1,เงินสำรองเพื่อกรณีฉุกเฉิน,ขอนแก่น,น้ำพอง,บ้านพักเด็กและครอบครัว,2026,4,2026-04,2026,4,2026-04,2026,5,2026-05,1,6,5,50,วัยแรงงานตอนกลาง (36-59),100.0,0,ภาคตะวันออกเฉียงเหนือ,Khon Kaen,29
PAY00027,SOC00458,5802602110896,เกศรินทร์,พิทักษ์วงศ์,หญิง,2016-09-17,เด็กและเยาวชน,เงินสงเคราะห์ครอบครัวผู้มีรายได้น้อยและผู้ไร้ที่พึ่ง,ประสบปัญหาค่าครองชีพ,2025-01-25,2025-01-30,2025-02-07,4500,2500,เงินสดผ่านหน่วยงาน,รอจ่ายงวดถัดไป,1,เงินสำรองเพื่อกรณีฉุกเฉิน,นนทบุรี,เมืองนนทบุรี,ศูนย์คุ้มครองคนไร้ที่พึ่ง,2025,1,2025-01,2025,1,2025-01,2025,2,2025-02,5,13,8,8,เด็กและเยาวชน (<18),55.56,2000,ภาคกลาง,Nonthaburi,3
PAY00028,SOC00119,8812706443560,วชิรวิทย์,เกษมสุข,หญิง,1963-06-01,ผู้สูงอายุ,เงินสงเคราะห์ครอบครัวผู้มีรายได้น้อยและผู้ไร้ที่พึ่ง,มีภาระหนี้สินและค่าใช้จ่ายจำเป็น,2026-02-25,2026-03-07,2026-03-08,3000,1500,เงินสดผ่านหน่วยงาน,รอจ่ายงวดถัดไป,1,เงินกองทุนส่งเสริมการจัดสวัสดิการสังคม,อุบลราชธานี,ศรีพัฒนา,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ,2026,2,2026-02,2026,3,2026-03,2026,3,2026-03,10,11,1,62,ผู้สูงอายุ (60+),50.0,1500,ภาคตะวันออกเฉียงเหนือ,Ubon Ratchathani,23
PAY00029,SOC00323,3411108989471,วราภรณ์,พรมศรี,หญิง,2011-10-06,เด็กและเยาวชน,เงินสงเคราะห์คนพิการ,ขาดรายได้สำหรับค่าใช้จ่ายจำเป็น,2025-12-09,2025-12-16,2025-12-25,6000,2500,โอนเข้าบัญชีธนาคาร,รอจ่ายงวดถัดไป,1,งบประมาณรายจ่ายประจำปี,อุบลราชธานี,คลองใหม่,บ้านพักเด็กและครอบครัว,2025,12,2025-12,2025,12,2025-12,2025,12,2025-12,7,16,9,14,เด็กและเยาวชน (<18),41.67,3500,ภาคตะวันออกเฉียงเหนือ,Ubon Ratchathani,23
PAY00030,SOC00103,7311927639501,อัญชลี,ทองดี,ชาย,1952-07-15,คนพิการ,เงินช่วยเหลือผู้ประสบปัญหาทางสังคมกรณีฉุกเฉิน,ประสบปัญหาค่าครองชีพ,2026-02-28,2026-03-08,2026-03-12,10000,9000,เงินสดผ่านหน่วยงาน,จ่ายบางส่วน,1,งบดำเนินงานของหน่วยงาน,ตรัง,ศรีพัฒนา,ศูนย์คุ้มครองคนไร้ที่พึ่ง,2026,2,2026-02,2026,3,2026-03,2026,3,2026-03,8,12,4,73,ผู้สูงอายุ (60+),90.0,1000,ภาคใต้,Trang,73
PAY00031,SOC00316,1166285723581,จักรพันธ์,ไชยวงศ์,หญิง,1968-08-10,คนไร้ที่พึ่ง,เงินช่วยเหลือด้านที่อยู่อาศัย,มีภาระหนี้สินและค่าใช้จ่ายจำเป็น,2023-09-14,2023-09-18,2023-09-28,15000,3500,พร้อมเพย์,จ่ายบางส่วน,1,งบดำเนินงานของหน่วยงาน,สุพรรณบุรี,บ้านใหม่,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ,2023,9,2023-09,2023,9,2023-09,2023,9,2023-09,4,14,10,55,วัยแรงงานตอนกลาง (36-59),23.33,11500,ภาคกลาง,Suphan Buri,58
PAY00032,SOC00360,7047418035150,วรเมธ,สมบูรณ์ผล,ชาย,1971-01-18,ผู้ประสบปัญหาทางสังคมทั่วไป,เงินสงเคราะห์ครอบครัวผู้มีรายได้น้อยและผู้ไร้ที่พึ่ง,ขาดรายได้สำหรับค่าใช้จ่ายจำเป็น,2026-07-13,2026-07-25,2026-08-02,7500,4000,โอนเข้าบัญชีธนาคาร,รอจ่ายงวดถัดไป,1,เงินกองทุนส่งเสริมการจัดสวัสดิการสังคม,นครปฐม,ทุ่งสุข,ศูนย์คุ้มครองคนไร้ที่พึ่ง,2026,7,2026-07,2026,7,2026-07,2026,8,2026-08,12,20,8,55,วัยแรงงานตอนกลาง (36-59),53.33,3500,ภาคกลาง,Nakhon Pathom,59
PAY00033,SOC00374,6021879251115,อริสรา,แก้วกาญจน์,ชาย,2010-09-26,เด็กและเยาวชน,เงินสงเคราะห์เด็กในครอบครัวยากจน,ครอบครัวประสบเหตุฉุกเฉิน,2024-04-23,2024-04-26,2024-05-03,8500,8500,เงินสดผ่านหน่วยงาน,จ่ายครบแล้ว,1,งบประมาณรายจ่ายประจำปี,ยะลา,บ้านใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด,2024,4,2024-04,2024,4,2024-04,2024,5,2024-05,3,10,7,13,เด็กและเยาวชน (<18),100.0,0,ภาคใต้,Yala,76
PAY00034,SOC00059,5467617875522,จันทร์เพ็ญ,ไชยวงศ์,หญิง,1949-03-27,ผู้สูงอายุ,เงินช่วยเหลือด้านที่อยู่อาศัย,มีภาระหนี้สินและค่าใช้จ่ายจำเป็น,2026-03-25,2026-03-26,2026-03-26,13500,13500,พร้อมเพย์,จ่ายครบแล้ว,1,งบดำเนินงานของหน่วยงาน,เชียงราย,เมืองเชียงราย,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ,2026,3,2026-03,2026,3,2026-03,2026,3,2026-03,1,1,0,76,ผู้สูงอายุ (60+),100.0,0,ภาคเหนือ,Chiang Rai,46
PAY00035,SOC00163,5908646124684,สุภาวดี,พิทักษ์วงศ์,ชาย,1961-05-19,ผู้มีรายได้น้อย,เงินสงเคราะห์คนพิการ,ว่างงานหรือรายได้ลดลง,2022-07-14,2022-07-21,2022-07-28,4500,1500,เงินสดผ่านหน่วยงาน,จ่ายบางส่วน,1,เงินสำรองเพื่อกรณีฉุกเฉิน,สุรินทร์,บ้านใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด,2022,7,2022-07,2022,7,2022-07,2022,7,2022-07,7,14,7,61,ผู้สูงอายุ (60+),33.33,3000,ภาคตะวันออกเฉียงเหนือ,Surin,21
PAY00036,SOC00252,8414064445998,ธิดารัตน์,บุญช่วย,หญิง,1966-01-22,ผู้ประสบปัญหาทางสังคมทั่วไป,เงินสงเคราะห์เด็กในครอบครัวยากจน,ขาดผู้ดูแลและรายได้,2024-09-01,2024-09-13,2024-09-15,10000,9500,พร้อมเพย์,รอจ่ายงวดถัดไป,1,งบประมาณรายจ่ายประจำปี,จันทบุรี,ทุ่งสุข,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด,2024,9,2024-09,2024,9,2024-09,2024,9,2024-09,12,14,2,58,วัยแรงงานตอนกลาง (36-59),95.0,500,ภาคตะวันออก,Chanthaburi,13
PAY00037,SOC00103,7311927639501,อัญชลี,ทองดี,ชาย,1952-07-15,คนพิการ,เงินช่วยเหลือผู้ประสบปัญหาทางสังคมกรณีฉุกเฉิน,ประสบปัญหาค่าครองชีพ,2026-02-27,2026-03-08,2026-03-08,10000,1000,โอนเข้าบัญชีธนาคาร,จ่ายครบแล้ว,2,งบดำเนินงานของหน่วยงาน,ตรัง,ศรีพัฒนา,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ,2026,2,2026-02,2026,3,2026-03,2026,3,2026-03,9,9,0,73,ผู้สูงอายุ (60+),10.0,9000,ภาคใต้,Trang,73
PAY00038,SOC00196,1140292518312,ศุภลักษณ์,จารุวัฒน์,ชาย,2004-06-22,เด็กและเยาวชน,เงินช่วยเหลือด้านที่อยู่อาศัย,มีค่าใช้จ่ายด้านสุขภาพ,2022-06-12,2022-06-21,2022-06-25,11500,500,พร้อมเพย์,รอจ่ายงวดถัดไป,1,งบประมาณรายจ่ายประจำปี,กระบี่,เมือง,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ,2022,6,2022-06,2022,6,2022-06,2022,6,2022-06,9,13,4,17,เด็กและเยาวชน (<18),4.35,11000,ภาคใต้,Krabi,65
PAY00039,SOC00155,8271399955733,พรชัย,ใจดี,ชาย,1992-05-19,คนไร้ที่พึ่ง,เงินสงเคราะห์เด็กในครอบครัวยากจน,ครอบครัวประสบเหตุฉุกเฉิน,2024-04-12,2024-04-16,2024-04-22,9000,3500,โอนเข้าบัญชีธนาคาร,จ่ายบางส่วน,1,งบประมาณรายจ่ายประจำปี,สกลนคร,ทุ่งสุข,ศูนย์คุ้มครองคนไร้ที่พึ่ง,2024,4,2024-04,2024,4,2024-04,2024,4,2024-04,4,10,6,31,วัยแรงงานตอนต้น (18-35),38.89,5500,ภาคตะวันออกเฉียงเหนือ,Sakon Nakhon,36
PAY00040,SOC00235,8917447989352,ณัฐธิดา,พรมศรี,ชาย,2015-03-31,คนพิการ,เงินสงเคราะห์ผู้สูงอายุในภาวะยากลำบาก,ประสบปัญหาค่าครองชีพ,2025-05-01,2025-05-11,2025-05-15,7500,2500,โอนเข้าบัญชีธนาคาร,จ่ายบางส่วน,1,เงินกองทุนส่งเสริมการจัดสวัสดิการสังคม,จันทบุรี,เมือง,ศูนย์คุ้มครองคนไร้ที่พึ่ง,2025,5,2025-05,2025,5,2025-05,2025,5,2025-05,10,14,4,10,เด็กและเยาวชน (<18),33.33,5000,ภาคตะวันออก,Chanthaburi,13
PAY00041,SOC00301,4560828573997,ปวีณา,กุลวงศ์,ชาย,1954-12-13,คนพิการ,เงินช่วยเหลือผู้ประสบปัญหาทางสังคมกรณีฉุกเฉิน,ประสบปัญหาค่าครองชีพ,2026-05-04,2026-05-13,2026-05-17,7000,1500,เงินสดผ่านหน่วยงาน,รอจ่ายงวดถัดไป,1,งบประมาณรายจ่ายประจำปี,ชลบุรี,ศรีราชา,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด,2026,5,2026-05,2026,5,2026-05,2026,5,2026-05,9,13,4,71,ผู้สูงอายุ (60+),21.43,5500,ภาคตะวันออก,Chon Buri,11
