payment_id,case_id,citizen_id,first_name,last_name,gender,birth_date,target_group,welfare_type,assistance_reason,request_date,approval_date,payment_date,approved_amount,paid_amount,payment_method,payment_status,payment_round,fund_source,province,district,agency
PAY00016,SOC00335,1698987571443,ปราณี,เจริญผล,ชาย,1979-05-14,ผู้มีรายได้น้อย,เงินสงเคราะห์เด็กในครอบครัวยากจน,มีภาระหนี้สินและค่าใช้จ่ายจำเป็น,2026-07-17,2026-07-28,2026-07-28,9500,3000,โอนเข้าบัญชีธนาคาร,จ่ายบางส่วน,1,เงินกองทุนส่งเสริมการจัดสวัสดิการสังคม,ยะลา,บ้านใหม่,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ
PAY00017,SOC00309,5045662977004,กาญจนา,มงคลชัย,ชาย,2006-05-12,ผู้มีรายได้น้อย,เงินสงเคราะห์ผู้สูงอายุในภาวะยากลำบาก,ขาดผู้ดูแลและรายได้,2025-12-14,2025-12-26,2025-12-29,3500,1000,เงินสดผ่านหน่วยงาน,รอจ่ายงวดถัดไป,1,งบดำเนินงานของหน่วยงาน,กรุงเทพมหานคร,บางกะปิ,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
PAY00018,SOC00165,2416387552781,ปกรณ์,คำแสน,ชาย,1980-01-16,ผู้มีรายได้น้อย,เงินสงเคราะห์เด็กในครอบครัวยากจน,ครอบครัวประสบเหตุฉุกเฉิน,2022-02-09,2022-02-10,2022-02-18,3000,1500,เงินสดผ่านหน่วยงาน,จ่ายบางส่วน,1,เงินกองทุนส่งเสริมการจัดสวัสดิการสังคม,นราธิวาส,เมือง,บ้านพักเด็กและครอบครัว
PAY00019,SOC00097,2016140203933,กฤษฎา,เจริญผล,ชาย,2023-12-05,เด็กและเยาวชน,เงินสงเคราะห์ครอบครัวผู้มีรายได้น้อยและผู้ไร้ที่พึ่ง,ขาดรายได้สำหรับค่าใช้จ่ายจำเป็น,2023-10-01,2023-10-06,2023-10-08,8000,8000,พร้อมเพย์,จ่ายครบแล้ว,1,งบดำเนินงานของหน่วยงาน,สมุทรสาคร,บ้านใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
PAY00020,SOC00295,4974925388431,สุชาดา,นิ่มนวล,ชาย,2003-09-12,ผู้มีรายได้น้อย,เงินสงเคราะห์ผู้สูงอายุในภาวะยากลำบาก,ว่างงานหรือรายได้ลดลง,2022-06-30,2022-07-03,2022-07-06,8500,7500,เงินสดผ่านหน่วยงาน,จ่ายบางส่วน,1,เงินสำรองเพื่อกรณีฉุกเฉิน,ลำปาง,ทุ่งสุข,ศูนย์คุ้มครองคนไร้ที่พึ่ง
PAY00021,SOC00477,3352295168467,ชนิดา,จำปาแก้ว,หญิง,2020-07-02,เด็กและเยาวชน,เงินช่วยเหลือด้านที่อยู่อาศัย,ครอบครัวประสบเหตุฉุกเฉิน,2023-06-13,2023-06-14,2023-06-20,15000,1500,พร้อมเพย์,รอจ่ายงวดถัดไป,1,งบดำเนินงานของหน่วยงาน,ชลบุรี,เมืองชลบุรี,ศูนย์คุ้มครองคนไร้ที่พึ่ง
PAY00022,SOC00454,1662630763628,ชยุต,ร่มเย็น,หญิง,1988-10-04,ผู้มีรายได้น้อย,เงินสงเคราะห์ครอบครัวผู้มีรายได้น้อยและผู้ไร้ที่พึ่ง,มีค่าใช้จ่ายด้านสุขภาพ,2025-08-23,2025-09-04,2025-09-13,2500,500,โอนเข้าบัญชีธนาคาร,จ่ายบางส่วน,1,งบดำเนินงานของหน่วยงาน,ภูเก็ต,กะทู้,บ้านพักเด็กและครอบครัว
PAY00023,SOC00424,4064175905122,สิทธิโชค,ประเสริฐศรี,หญิง,2025-10-07,เด็กและเยาวชน,เงินสงเคราะห์ผู้สูงอายุในภาวะยากลำบาก,ประสบปัญหาค่าครองชีพ,2024-06-26,2024-06-28,2024-07-06,10000,10000,พร้อมเพย์,จ่ายครบแล้ว,1,งบดำเนินงานของหน่วยงาน,นครสวรรค์,คลองใหม่,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ
PAY00024,SOC00055,5874525905810,ภาคิน,วงศ์คำ,ชาย,1957-03-05,ผู้มีรายได้น้อย,เงินสงเคราะห์ครอบครัวผู้มีรายได้น้อยและผู้ไร้ที่พึ่ง,ที่อยู่อาศัยไม่เหมาะสม,2023-11-06,2023-11-14,2023-11-15,2500,2000,พร้อมเพย์,จ่ายบางส่วน,1,เงินสำรองเพื่อกรณีฉุกเฉิน,พิจิตร,ทุ่งสุข,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
PAY00025,SOC00315,6977211830230,ภาคิน,นิ่มนวล,ชาย,1956-09-06,ผู้มีรายได้น้อย,เงินสงเคราะห์ผู้สูงอายุในภาวะยากลำบาก,มีค่าใช้จ่ายด้านสุขภาพ,2024-05-23,2024-05-30,2024-06-01,3000,1000,เงินสดผ่านหน่วยงาน,รอจ่ายงวดถัดไป,1,งบประมาณรายจ่ายประจำปี,สงขลา,เมืองสงขลา,ศูนย์คุ้มครองคนไร้ที่พึ่ง
PAY00026,SOC00023,7099437880414,ขวัญฤดี,ทองมาก,ชาย,1975-08-05,ผู้ประสบปัญหาทางสังคมทั่วไป,เงินสงเคราะห์คนพิการ,ว่างงานหรือรายได้ลดลง,2026-04-29,2026-04-30,2026-05-05,3500,3500,โอนเข้าบัญชีธนาคาร,จ่ายครบแล้ว,1,เงินสำรองเพื่อกรณีฉุกเฉิน,ขอนแก่น,น้ำพอง,บ้านพักเด็กและครอบครัว
PAY00027,SOC00458,5802602110896,เกศรินทร์,พิทักษ์วงศ์,หญิง,2016-09-17,เด็กและเยาวชน,เงินสงเคราะห์ครอบครัวผู้มีรายได้น้อยและผู้ไร้ที่พึ่ง,ประสบปัญหาค่าครองชีพ,2025-01-25,2025-01-30,2025-02-07,4500,2500,เงินสดผ่านหน่วยงาน,รอจ่ายงวดถัดไป,1,เงินสำรองเพื่อกรณีฉุกเฉิน,นนทบุรี,เมืองนนทบุรี,ศูนย์คุ้มครองคนไร้ที่พึ่ง
PAY00028,SOC00119,8812706443560,วชิรวิทย์,เกษมสุข,หญิง,1963-06-01,ผู้สูงอายุ,เงินสงเคราะห์ครอบครัวผู้มีรายได้น้อยและผู้ไร้ที่พึ่ง,มีภาระหนี้สินและค่าใช้จ่ายจำเป็น,2026-02-25,2026-03-07,2026-03-08,3000,1500,เงินสดผ่านหน่วยงาน,รอจ่ายงวดถัดไป,1,เงินกองทุนส่งเสริมการจัดสวัสดิการสังคม,อุบลราชธานี,ศรีพัฒนา,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ
PAY00029,SOC00323,3411108989471,วราภรณ์,พรมศรี,หญิง,2011-10-06,เด็กและเยาวชน,เงินสงเคราะห์คนพิการ,ขาดรายได้สำหรับค่าใช้จ่ายจำเป็น,2025-12-09,2025-12-16,2025-12-25,6000,2500,โอนเข้าบัญชีธนาคาร,รอจ่ายงวดถัดไป,1,งบประมาณรายจ่ายประจำปี,อุบลราชธานี,คลองใหม่,บ้านพักเด็กและครอบครัว
PAY00030,SOC00103,7311927639501,อัญชลี,ทองดี,ชาย,1952-07-15,คนพิการ,เงินช่วยเหลือผู้ประสบปัญหาทางสังคมกรณีฉุกเฉิน,ประสบปัญหาค่าครองชีพ,2026-02-28,2026-03-08,2026-03-12,10000,9000,เงินสดผ่านหน่วยงาน,จ่ายบางส่วน,1,งบดำเนินงานของหน่วยงาน,ตรัง,ศรีพัฒนา,ศูนย์คุ้มครองคนไร้ที่พึ่ง
PAY00031,SOC00316,1166285723581,จักรพันธ์,ไชยวงศ์,หญิง,1968-08-10,คนไร้ที่พึ่ง,เงินช่วยเหลือด้านที่อยู่อาศัย,มีภาระหนี้สินและค่าใช้จ่ายจำเป็น,2023-09-14,2023-09-18,2023-09-28,15000,3500,พร้อมเพย์,จ่ายบางส่วน,1,งบดำเนินงานของหน่วยงาน,สุพรรณบุรี,บ้านใหม่,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ
PAY00032,SOC00360,7047418035150,วรเมธ,สมบูรณ์ผล,ชาย,1971-01-18,ผู้ประสบปัญหาทางสังคมทั่วไป,เงินสงเคราะห์ครอบครัวผู้มีรายได้น้อยและผู้ไร้ที่พึ่ง,ขาดรายได้สำหรับค่าใช้จ่ายจำเป็น,2026-07-13,2026-07-25,2026-08-02,7500,4000,โอนเข้าบัญชีธนาคาร,รอจ่ายงวดถัดไป,1,เงินกองทุนส่งเสริมการจัดสวัสดิการสังคม,นครปฐม,ทุ่งสุข,ศูนย์คุ้มครองคนไร้ที่พึ่ง
PAY00033,SOC00374,6021879251115,อริสรา,แก้วกาญจน์,ชาย,2010-09-26,เด็กและเยาวชน,เงินสงเคราะห์เด็กในครอบครัวยากจน,ครอบครัวประสบเหตุฉุกเฉิน,2024-04-23,2024-04-26,2024-05-03,8500,8500,เงินสดผ่านหน่วยงาน,จ่ายครบแล้ว,1,งบประมาณรายจ่ายประจำปี,ยะลา,บ้านใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
PAY00034,SOC00059,5467617875522,จันทร์เพ็ญ,ไชยวงศ์,หญิง,1949-03-27,ผู้สูงอายุ,เงินช่วยเหลือด้านที่อยู่อาศัย,มีภาระหนี้สินและค่าใช้จ่ายจำเป็น,2026-03-25,2026-03-26,2026-03-26,13500,13500,พร้อมเพย์,จ่ายครบแล้ว,1,งบดำเนินงานของหน่วยงาน,เชียงราย,เมืองเชียงราย,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ
PAY00035,SOC00163,5908646124684,สุภาวดี,พิทักษ์วงศ์,ชาย,1961-05-19,ผู้มีรายได้น้อย,เงินสงเคราะห์คนพิการ,ว่างงานหรือรายได้ลดลง,2022-07-14,2022-07-21,2022-07-28,4500,1500,เงินสดผ่านหน่วยงาน,จ่ายบางส่วน,1,เงินสำรองเพื่อกรณีฉุกเฉิน,สุรินทร์,บ้านใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
PAY00036,SOC00252,8414064445998,ธิดารัตน์,บุญช่วย,หญิง,1966-01-22,ผู้ประสบปัญหาทางสังคมทั่วไป,เงินสงเคราะห์เด็กในครอบครัวยากจน,ขาดผู้ดูแลและรายได้,2024-09-01,2024-09-13,2024-09-15,10000,9500,พร้อมเพย์,รอจ่ายงวดถัดไป,1,งบประมาณรายจ่ายประจำปี,จันทบุรี,ทุ่งสุข,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
PAY00037,SOC00103,7311927639501,อัญชลี,ทองดี,ชาย,1952-07-15,คนพิการ,เงินช่วยเหลือผู้ประสบปัญหาทางสังคมกรณีฉุกเฉิน,ประสบปัญหาค่าครองชีพ,2026-02-27,2026-03-08,2026-03-08,10000,1000,โอนเข้าบัญชีธนาคาร,จ่ายครบแล้ว,2,งบดำเนินงานของหน่วยงาน,ตรัง,ศรีพัฒนา,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ
PAY00038,SOC00196,1140292518312,ศุภลักษณ์,จารุวัฒน์,ชาย,2004-06-22,เด็กและเยาวชน,เงินช่วยเหลือด้านที่อยู่อาศัย,มีค่าใช้จ่ายด้านสุขภาพ,2022-06-12,2022-06-21,2022-06-25,11500,500,พร้อมเพย์,รอจ่ายงวดถัดไป,1,งบประมาณรายจ่ายประจำปี,กระบี่,เมือง,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ
PAY00039,SOC00155,8271399955733,พรชัย,ใจดี,ชาย,1992-05-19,คนไร้ที่พึ่ง,เงินสงเคราะห์เด็กในครอบครัวยากจน,ครอบครัวประสบเหตุฉุกเฉิน,2024-04-12,2024-04-16,2024-04-22,9000,3500,โอนเข้าบัญชีธนาคาร,จ่ายบางส่วน,1,งบประมาณรายจ่ายประจำปี,สกลนคร,ทุ่งสุข,ศูนย์คุ้มครองคนไร้ที่พึ่ง
PAY00040,SOC00235,8917447989352,ณัฐธิดา,พรมศรี,ชาย,2015-03-31,คนพิการ,เงินสงเคราะห์ผู้สูงอายุในภาวะยากลำบาก,ประสบปัญหาค่าครองชีพ,2025-05-01,2025-05-11,2025-05-15,7500,2500,โอนเข้าบัญชีธนาคาร,จ่ายบางส่วน,1,เงินกองทุนส่งเสริมการจัดสวัสดิการสังคม,จันทบุรี,เมือง,ศูนย์คุ้มครองคนไร้ที่พึ่ง
PAY00041,SOC00301,4560828573997,ปวีณา,กุลวงศ์,ชาย,1954-12-13,คนพิการ,เงินช่วยเหลือผู้ประสบปัญหาทางสังคมกรณีฉุกเฉิน,ประสบปัญหาค่าครองชีพ,2026-05-04,2026-05-13,2026-05-17,7000,1500,เงินสดผ่านหน่วยงาน,รอจ่ายงวดถัดไป,1,งบประมาณรายจ่ายประจำปี,ชลบุรี,ศรีราชา,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
PAY00042,SOC00473,2094396151876,เกศรินทร์,พึ่งบุญ,หญิง,1982-11-13,คนพิการ,เงินช่วยเหลือด้านที่อยู่อาศัย,ว่างงานหรือรายได้ลดลง,2024-11-30,2024-12-02,2024-12-10,9500,3000,เงินสดผ่านหน่วยงาน,จ่ายบางส่วน,1,เงินกองทุนส่งเสริมการจัดสวัสดิการสังคม,ขอนแก่น,เมืองขอนแก่น,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
PAY00043,SOC00463,3023876434160,ภัทรพล,บุญส่ง,หญิง,1974-10-04,ผู้มีรายได้น้อย,เงินช่วยเหลือผู้ประสบปัญหาทางสังคมกรณีฉุกเฉิน,ครอบครัวประสบเหตุฉุกเฉิน,2026-06-11,2026-06-17,2026-06-18,8000,6500,พร้อมเพย์,รอจ่ายงวดถัดไป,1,เงินสำรองเพื่อกรณีฉุกเฉิน,กรุงเทพมหานคร,บางเขน,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
PAY00044,SOC00250,2351403231447,อริสรา,รัตนวงศ์,ชาย,2002-01-22,คนพิการ,เงินสงเคราะห์เด็กในครอบครัวยากจน,ครอบครัวประสบเหตุฉุกเฉิน,2025-12-19,2025-12-26,2025-12-29,5500,5500,โอนเข้าบัญชีธนาคาร,จ่ายครบแล้ว,1,เงินกองทุนส่งเสริมการจัดสวัสดิการสังคม,ตราด,หนองกลาง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
PAY00045,SOC00419,2815398330313,ภาคิน,เพิ่มพูน,ชาย,1995-03-25,คนพิการ,เงินช่วยเหลือผู้ประสบปัญหาทางสังคมกรณีฉุกเฉิน,ที่อยู่อาศัยไม่เหมาะสม,2026-03-26,2026-03-29,2026-04-05,2500,500,เงินสดผ่านหน่วยงาน,รอจ่ายงวดถัดไป,1,เงินกองทุนส่งเสริมการจัดสวัสดิการสังคม,สมุทรปราการ,คลองใหม่,บ้านพักเด็กและครอบครัว
PAY00046,SOC00325,5953433031307,สุชาดา,นพคุณ,ชาย,1998-08-10,ผู้ประสบปัญหาทางสังคมทั่วไป,เงินช่วยเหลือผู้ประสบปัญหาทางสังคมกรณีฉุกเฉิน,ที่อยู่อาศัยไม่เหมาะสม,2023-03-02,2023-03-08,2023-03-13,9500,9500,เงินสดผ่านหน่วยงาน,จ่ายครบแล้ว,1,งบดำเนินงานของหน่วยงาน,สมุทรสาคร,ทุ่งสุข,บ้านพักเด็กและครอบครัว
PAY00047,SOC00168,7714071128675,ปัญญา,สุนทรวงศ์,ชาย,2006-11-03,ผู้ประสบปัญหาทางสังคมทั่วไป,เงินสงเคราะห์ผู้สูงอายุในภาวะยากลำบาก,ที่อยู่อาศัยไม่เหมาะสม,2025-04-14,2025-04-26,2025-04-28,8500,500,เงินสดผ่านหน่วยงาน,รอจ่ายงวดถัดไป,1,เงินสำรองเพื่อกรณีฉุกเฉิน,สระบุรี,บ้านใหม่,ศูนย์คุ้มครองคนไร้ที่พึ่ง
PAY00048,SOC00011,6291383137886,นันทนา,เจริญผล,ชาย,1942-04-15,ผู้สูงอายุ,เงินช่วยเหลือผู้ประสบปัญหาทางสังคมกรณีฉุกเฉิน,ประสบปัญหาค่าครองชีพ,2025-07-21,2025-07-29,2025-08-04,7500,3000,พร้อมเพย์,รอจ่ายงวดถัดไป,1,เงินสำรองเพื่อกรณีฉุกเฉิน,ลพบุรี,คลองใหม่,ศูนย์คุ้มครองคนไร้ที่พึ่ง
PAY00049,SOC00125,7972318178827,ธนา,วัฒนกุล,หญิง,2005-06-07,สตรีและครอบครัว,เงินช่วยเหลือด้านที่อยู่อาศัย,ขาดรายได้สำหรับค่าใช้จ่ายจำเป็น,2022-01-18,2022-01-24,2022-01-25,5000,1500,เงินสดผ่านหน่วยงาน,รอจ่ายงวดถัดไป,1,งบประมาณรายจ่ายประจำปี,พิษณุโลก,ศรีพัฒนา,บ้านพักเด็กและครอบครัว
PAY00050,SOC00386,3383093442551,วาสนา,รัตนกุล,หญิง,1952-07-13,ผู้ประสบปัญหาทางสังคมทั่วไป,เงินช่วยเหลือผู้ประสบปัญหาทางสังคมกรณีฉุกเฉิน,มีภาระหนี้สินและค่าใช้จ่ายจำเป็น,2025-05-30,2025-06-09,2025-06-11,6500,1000,พร้อมเพย์,จ่ายบางส่วน,1,งบประมาณรายจ่ายประจำปี,นราธิวาส,เมือง,บ้านพักเด็กและครอบครัว
PAY00051,SOC00027,2007476414141,ขวัญฤดี,สุวรรณวงศ์,ชาย,2008-09-22,เด็กและเยาวชน,เงินช่วยเหลือผู้ประสบปัญหาทางสังคมกรณีฉุกเฉิน,ครอบครัวประสบเหตุฉุกเฉิน,2024-08-01,2024-08-11,2024-08-13,2000,2000,เงินสดผ่านหน่วยงาน,จ่ายครบแล้ว,1,งบประมาณรายจ่ายประจำปี,สมุทรปราการ,เมือง,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ
PAY00052,SOC00233,6021285211145,รวิศ,ศรีสุข,หญิง,1977-08-15,ผู้ประสบปัญหาทางสังคมทั่วไป,เงินช่วยเหลือด้านที่อยู่อาศัย,มีค่าใช้จ่ายด้านสุขภาพ,2023-12-06,2023-12-08,2023-12-15,6500,1500,โอนเข้าบัญชีธนาคาร,จ่ายบางส่วน,1,เงินสำรองเพื่อกรณีฉุกเฉิน,ปราจีนบุรี,หนองกลาง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
PAY00053,SOC00499,1864211334809,สุวิมล,ศรีนวล,หญิง,1939-07-02,ผู้สูงอายุ,เงินสงเคราะห์ครอบครัวผู้มีรายได้น้อยและผู้ไร้ที่พึ่ง,มีค่าใช้จ่ายด้านสุขภาพ,2026-08-23,2026-08-24,2026-08-24,8000,2500,โอนเข้าบัญชีธนาคาร,จ่ายบางส่วน,1,งบดำเนินงานของหน่วยงาน,พระนครศรีอยุธยา,ศรีพัฒนา,บ้านพักเด็กและครอบครัว
PAY00054,SOC00351,3747354168121,สมฤดี,ฤทธิไกร,หญิง,2012-10-26,เด็กและเยาวชน,เงินช่วยเหลือด้านที่อยู่อาศัย,มีค่าใช้จ่ายด้านสุขภาพ,2024-11-30,2024-12-05,2024-12-11,17500,9500,พร้อมเพย์,รอจ่ายงวดถัดไป,1,เงินสำรองเพื่อกรณีฉุกเฉิน,ชลบุรี,บางละมุง,ศูนย์คุ้มครองคนไร้ที่พึ่ง
PAY00055,SOC00015,2056539513638,พชร,วัฒนกุล,หญิง,2005-09-24,ผู้มีรายได้น้อย,เงินช่วยเหลือด้านที่อยู่อาศัย,ขาดผู้ดูแลและรายได้,2023-05-04,2023-05-13,2023-05-18,4500,4500,โอนเข้าบัญชีธนาคาร,จ่ายครบแล้ว,1,งบประมาณรายจ่ายประจำปี,ลพบุรี,บ้านใหม่,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ
