payment_id,grant_case_id,child_citizen_id,child_first_name,child_last_name,child_gender,child_birth_date,father_citizen_id,father_first_name,father_last_name,father_status,mother_citizen_id,mother_first_name,mother_last_name,mother_status,guardian_citizen_id,guardian_first_name,guardian_last_name,guardian_relationship,legal_guardian_relation,legal_guardian_reason,application_date,approval_date,entitlement_start_date,payment_date,payment_round,payment_amount,payment_status,payment_method,household_member_count,household_annual_income,registration_channel,province,district,subdistrict,agency
NCGPAY00162,NCG00162,1.62007E+12,พชรพล,ธนากุล,หญิง,25/01/2020,7.96164E+12,รัชชานนท์,สุนทรวงศ์,มีชีวิตและเลี้ยงดูเด็ก,5.45255E+12,วิภาวี,สมบูรณ์ผล,มีชีวิตและเลี้ยงดูเด็ก,7.96164E+12,รัชชานนท์,สุนทรวงศ์,บิดา,,,19/07/2020,16/08/2020,16/08/2020,7/09/2020,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,7,86900,ระบบออนไลน์,นนทบุรี,เมืองนนทบุรี,สวนใหญ่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดนนทบุรี
NCGPAY00093,NCG00093,2.99081E+12,ชญานิศ,กุลวงศ์,ชาย,27/04/2020,8.16231E+12,ปณชัย,ใจดี,ไม่สามารถติดต่อได้,7.19111E+12,สุพัตรา,เมืองแก้ว,มีชีวิตและเลี้ยงดูเด็ก,7.19111E+12,สุพัตรา,เมืองแก้ว,มารดา,,,23/07/2020,7/08/2020,7/08/2020,8/09/2020,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,7,84600,ระบบออนไลน์,จันทบุรี,แหลมสิงห์,บางกะไชย,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดจันทบุรี
NCGPAY00310,NCG00159,1.69899E+12,ชยพล,พิพัฒน์กุล,หญิง,16/03/2020,6.59845E+12,กฤษฎา,ทองอินทร์,มีชีวิตและเลี้ยงดูเด็ก,2.77325E+12,วิภาวี,คุ้มภัย,มีชีวิตและเลี้ยงดูเด็ก,2.77325E+12,วิภาวี,คุ้มภัย,มารดา,,,10/07/2020,3/08/2020,3/08/2020,9/09/2020,2,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,7,88400,หน่วยบริการเคลื่อนที่,นครสวรรค์,ไพศาลี,วังข่อย,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดนครสวรรค์
NCGPAY00254,NCG00254,7.26668E+12,ภูวดล,ธนากุล,ชาย,14/06/2020,2.75475E+12,ธนภัทร,นิลแก้ว,มีชีวิตและเลี้ยงดูเด็ก,2.95838E+12,พรทิพย์,วัฒนชัย,ไม่สามารถติดต่อได้,2.75475E+12,ธนภัทร,นิลแก้ว,บิดา,,,18/08/2020,7/09/2020,7/09/2020,17/09/2020,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,5,74600,หน่วยบริการเคลื่อนที่,ปราจีนบุรี,บ้านสร้าง,บางกระเบา,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดปราจีนบุรี
NCGPAY00047,NCG00047,3.62124E+12,กฤษฎา,บัวทอง,หญิง,8/07/2020,5.98347E+12,สิทธิชัย,ศรีนวล,มีชีวิตแต่ไม่ได้เลี้ยงดู,6.79748E+12,จุฑามาศ,จำปาแก้ว,มีชีวิตและเลี้ยงดูเด็ก,6.79748E+12,จุฑามาศ,จำปาแก้ว,มารดา,,,29/08/2020,19/09/2020,19/09/2020,20/09/2020,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,4,64300,ลงทะเบียน ณ หน่วยรับลงทะเบียน,สกลนคร,บ้านม่วง,ดงหม้อทอง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสกลนคร
NCGPAY00138,NCG00138,8.66355E+12,ณัฐภัทร,ศรีสุข,หญิง,25/02/2020,6.77653E+12,ธีรวัฒน์,วิริยะกุล,ไม่สามารถติดต่อได้,6.61969E+12,อรทัย,ทองดี,มีชีวิตและเลี้ยงดูเด็ก,6.61969E+12,อรทัย,ทองดี,มารดา,,,21/08/2020,19/09/2020,19/09/2020,21/09/2020,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,5,70200,ระบบออนไลน์,เชียงใหม่,สารภี,ไชยสถาน,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดเชียงใหม่
NCGPAY00120,NCG00120,3.87964E+12,กฤษฎา,ภูมิใจ,ชาย,16/04/2020,8.21391E+12,สิทธิชัย,โชคชัย,มีชีวิตและเลี้ยงดูเด็ก,2.89525E+12,รัตนา,บัวทอง,มีชีวิตและเลี้ยงดูเด็ก,2.89525E+12,รัตนา,บัวทอง,มารดา,,,31/08/2020,11/09/2020,11/09/2020,8/10/2020,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,2,52200,ลงทะเบียน ณ หน่วยรับลงทะเบียน,อุดรธานี,นายูง,โนนทอง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดอุดรธานี
NCGPAY00297,NCG00093,2.99081E+12,ชญานิศ,กุลวงศ์,ชาย,27/04/2020,8.16231E+12,ปณชัย,ใจดี,ไม่สามารถติดต่อได้,7.19111E+12,สุพัตรา,เมืองแก้ว,มีชีวิตและเลี้ยงดูเด็ก,7.19111E+12,สุพัตรา,เมืองแก้ว,มารดา,,,23/07/2020,7/08/2020,7/08/2020,12/10/2020,2,600,จ่ายสำเร็จ,พร้อมเพย์,7,84600,ระบบออนไลน์,จันทบุรี,แหลมสิงห์,บางกะไชย,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดจันทบุรี
NCGPAY00337,NCG00162,1.62007E+12,พชรพล,ธนากุล,หญิง,25/01/2020,7.96164E+12,รัชชานนท์,สุนทรวงศ์,มีชีวิตและเลี้ยงดูเด็ก,5.45255E+12,วิภาวี,สมบูรณ์ผล,มีชีวิตและเลี้ยงดูเด็ก,7.96164E+12,รัชชานนท์,สุนทรวงศ์,บิดา,,,19/07/2020,16/08/2020,16/08/2020,12/10/2020,2,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,7,86900,ระบบออนไลน์,นนทบุรี,เมืองนนทบุรี,สวนใหญ่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดนนทบุรี
NCGPAY00125,NCG00125,6.37886E+12,ชนิดา,ภูมิใจ,ชาย,25/08/2020,6.77081E+12,อนุชา,ธรรมคุณ,มีชีวิตและเลี้ยงดูเด็ก,1.72923E+12,กัญญารัตน์,ยอดแก้ว,มีชีวิตและเลี้ยงดูเด็ก,6.77081E+12,อนุชา,ธรรมคุณ,บิดา,,,12/10/2020,17/10/2020,17/10/2020,18/10/2020,1,600,จ่ายสำเร็จ,พร้อมเพย์,3,61400,ระบบออนไลน์,แพร่,เมืองแพร่,ช่อแฮ,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดแพร่
NCGPAY00189,NCG00189,8.06039E+12,กิตติภัทร,ทรัพย์เจริญ,หญิง,22/01/2020,1.27107E+12,วิทยา,เพชรรัตน์,มีชีวิตแต่ไม่ได้เลี้ยงดู,2.23907E+12,กมลชนก,จำปาแก้ว,มีชีวิตและเลี้ยงดูเด็ก,2.23907E+12,กมลชนก,จำปาแก้ว,มารดา,,,1/09/2020,18/09/2020,18/09/2020,19/10/2020,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,3,56900,หน่วยบริการเคลื่อนที่,ตรัง,ปะเหลียน,เกาะค้างคาว,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดตรัง
NCGPAY00425,NCG00254,7.26668E+12,ภูวดล,ธนากุล,ชาย,14/06/2020,2.75475E+12,ธนภัทร,นิลแก้ว,มีชีวิตและเลี้ยงดูเด็ก,2.95838E+12,พรทิพย์,วัฒนชัย,ไม่สามารถติดต่อได้,2.75475E+12,ธนภัทร,นิลแก้ว,บิดา,,,18/08/2020,7/09/2020,7/09/2020,21/10/2020,2,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,5,74600,หน่วยบริการเคลื่อนที่,ปราจีนบุรี,บ้านสร้าง,บางกระเบา,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดปราจีนบุรี
NCGPAY00395,NCG00047,3.62124E+12,กฤษฎา,บัวทอง,หญิง,8/07/2020,5.98347E+12,สิทธิชัย,ศรีนวล,มีชีวิตแต่ไม่ได้เลี้ยงดู,6.79748E+12,จุฑามาศ,จำปาแก้ว,มีชีวิตและเลี้ยงดูเด็ก,6.79748E+12,จุฑามาศ,จำปาแก้ว,มารดา,,,29/08/2020,19/09/2020,19/09/2020,23/10/2020,2,600,จ่ายสำเร็จ,พร้อมเพย์,4,64300,ลงทะเบียน ณ หน่วยรับลงทะเบียน,สกลนคร,บ้านม่วง,ดงหม้อทอง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสกลนคร
NCGPAY00055,NCG00055,8.77164E+12,พัชรินทร์,เมืองแก้ว,หญิง,17/05/2020,5.79259E+12,จักรพันธ์,ไชยวงศ์,มีชีวิตและเลี้ยงดูเด็ก,1.94623E+12,ธัญชนก,แสงเพชร,มีชีวิตแต่ไม่ได้เลี้ยงดู,5.79259E+12,จักรพันธ์,ไชยวงศ์,บิดา,,,16/09/2020,24/09/2020,24/09/2020,25/10/2020,1,1800,จ่ายย้อนหลังรวมหลายงวด,โอนเข้าบัญชีธนาคาร,4,65000,ระบบออนไลน์,ขอนแก่น,น้ำพอง,สะอาด,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดขอนแก่น
NCGPAY00279,NCG00279,6.16238E+12,พชรพล,อ่อนละมุน,หญิง,28/08/2020,3.98972E+12,อาทิตย์,สุนทรวงศ์,มีชีวิตและเลี้ยงดูเด็ก,5.88727E+12,จิราภรณ์,คำแสน,มีชีวิตและเลี้ยงดูเด็ก,5.88727E+12,จิราภรณ์,คำแสน,มารดา,,,17/09/2020,17/10/2020,17/10/2020,27/10/2020,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,5,76600,ระบบออนไลน์,ชลบุรี,พนัสนิคม,วัดโบสถ์,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดชลบุรี
NCGPAY00375,NCG00120,3.87964E+12,กฤษฎา,ภูมิใจ,ชาย,16/04/2020,8.21391E+12,สิทธิชัย,โชคชัย,มีชีวิตและเลี้ยงดูเด็ก,2.89525E+12,รัตนา,บัวทอง,มีชีวิตและเลี้ยงดูเด็ก,2.89525E+12,รัตนา,บัวทอง,มารดา,,,31/08/2020,11/09/2020,11/09/2020,5/11/2020,2,600,จ่ายสำเร็จ,พร้อมเพย์,2,52200,ลงทะเบียน ณ หน่วยรับลงทะเบียน,อุดรธานี,นายูง,โนนทอง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดอุดรธานี
NCGPAY00316,NCG00093,2.99081E+12,ชญานิศ,กุลวงศ์,ชาย,27/04/2020,8.16231E+12,ปณชัย,ใจดี,ไม่สามารถติดต่อได้,7.19111E+12,สุพัตรา,เมืองแก้ว,มีชีวิตและเลี้ยงดูเด็ก,7.19111E+12,สุพัตรา,เมืองแก้ว,มารดา,,,23/07/2020,7/08/2020,7/08/2020,13/11/2020,3,600,จ่ายสำเร็จ,พร้อมเพย์,7,84600,ระบบออนไลน์,จันทบุรี,แหลมสิงห์,บางกะไชย,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดจันทบุรี
NCGPAY00129,NCG00129,3.15305E+12,นภัสสร,ทองสุข,ชาย,10/02/2020,1.07202E+12,พงศกร,เมืองแก้ว,มีชีวิตและเลี้ยงดูเด็ก,7.32083E+12,พิมพ์ชนก,สิงห์ทอง,มีชีวิตแต่ไม่ได้เลี้ยงดู,1.07202E+12,พงศกร,เมืองแก้ว,บิดา,,,4/10/2020,22/10/2020,22/10/2020,16/11/2020,1,600,จ่ายสำเร็จ,พร้อมเพย์,4,59900,เจ้าหน้าที่ช่วยลงทะเบียน,สงขลา,เทพา,วังใหญ่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสงขลา
NCGPAY00149,NCG00149,3.40281E+12,วราภรณ์,เมืองแก้ว,หญิง,12/08/2020,8.68484E+12,ภูวดล,สุวรรณศรี,มีชีวิตและเลี้ยงดูเด็ก,8.87913E+12,ชนิดา,วงศ์คำ,มีชีวิตและเลี้ยงดูเด็ก,8.87913E+12,ชนิดา,วงศ์คำ,มารดา,,,31/10/2020,4/11/2020,4/11/2020,19/11/2020,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,5,73600,ลงทะเบียน ณ หน่วยรับลงทะเบียน,สุพรรณบุรี,บางปลาม้า,ไผ่กองดิน,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสุพรรณบุรี
NCGPAY00481,NCG00047,3.62124E+12,กฤษฎา,บัวทอง,หญิง,8/07/2020,5.98347E+12,สิทธิชัย,ศรีนวล,มีชีวิตแต่ไม่ได้เลี้ยงดู,6.79748E+12,จุฑามาศ,จำปาแก้ว,มีชีวิตและเลี้ยงดูเด็ก,6.79748E+12,จุฑามาศ,จำปาแก้ว,มารดา,,,29/08/2020,19/09/2020,19/09/2020,27/11/2020,3,600,จ่ายสำเร็จ,พร้อมเพย์,4,64300,ลงทะเบียน ณ หน่วยรับลงทะเบียน,สกลนคร,บ้านม่วง,ดงหม้อทอง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสกลนคร
NCGPAY00403,NCG00279,6.16238E+12,พชรพล,อ่อนละมุน,หญิง,28/08/2020,3.98972E+12,อาทิตย์,สุนทรวงศ์,มีชีวิตและเลี้ยงดูเด็ก,5.88727E+12,จิราภรณ์,คำแสน,มีชีวิตและเลี้ยงดูเด็ก,5.88727E+12,จิราภรณ์,คำแสน,มารดา,,,17/09/2020,17/10/2020,17/10/2020,29/11/2020,2,600,จ่ายสำเร็จ,พร้อมเพย์,5,76600,ระบบออนไลน์,ชลบุรี,พนัสนิคม,วัดโบสถ์,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดชลบุรี
NCGPAY00277,NCG00277,1.83202E+12,วรเมธ,เข็มทอง,หญิง,15/08/2020,1.90509E+12,ชยพล,จิตมั่น,มีชีวิตและเลี้ยงดูเด็ก,6.47142E+12,กมลชนก,ภูมิใจ,เสียชีวิต,1.90509E+12,ชยพล,จิตมั่น,บิดา,,,11/10/2020,4/11/2020,4/11/2020,5/12/2020,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,7,85300,หน่วยบริการเคลื่อนที่,อุดรธานี,นายูง,โนนทอง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดอุดรธานี
NCGPAY00234,NCG00234,6.15424E+12,พิชญาภา,ภูมิใจ,ชาย,3/09/2020,3.53987E+12,ธนกฤต,เกษมสุข,มีชีวิตและเลี้ยงดูเด็ก,6.62909E+12,นิตยา,บุญส่ง,มีชีวิตและเลี้ยงดูเด็ก,6.62909E+12,นิตยา,บุญส่ง,มารดา,,,11/10/2020,9/11/2020,9/11/2020,11/12/2020,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,7,90400,ระบบออนไลน์,พัทลุง,ศรีนครินทร์,ชุมพล,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดพัทลุง
NCGPAY00429,NCG00129,3.15305E+12,นภัสสร,ทองสุข,ชาย,10/02/2020,1.07202E+12,พงศกร,เมืองแก้ว,มีชีวิตและเลี้ยงดูเด็ก,7.32083E+12,พิมพ์ชนก,สิงห์ทอง,มีชีวิตแต่ไม่ได้เลี้ยงดู,1.07202E+12,พงศกร,เมืองแก้ว,บิดา,,,4/10/2020,22/10/2020,22/10/2020,18/12/2020,2,600,จ่ายสำเร็จ,พร้อมเพย์,4,59900,เจ้าหน้าที่ช่วยลงทะเบียน,สงขลา,เทพา,วังใหญ่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสงขลา
NCGPAY00260,NCG00260,4.04691E+12,ภาคิน,แสนดี,หญิง,17/09/2020,5.92827E+12,พงษ์ศักดิ์,ทรัพย์เจริญ,ไม่สามารถเลี้ยงดูได้,7.0768E+12,พรทิพย์,พรมศรี,ไม่สามารถเลี้ยงดูได้,6.2074E+12,ภูวดล,ทรัพย์เจริญ,ผู้ปกครองโดยชอบด้วยกฎหมาย,ป้า,บิดาและมารดาไม่สามารถเลี้ยงดูเด็กได้,25/11/2020,25/12/2020,25/12/2020,2/01/2021,1,600,จ่ายสำเร็จ,พร้อมเพย์,2,54300,ระบบออนไลน์,ลำปาง,ห้างฉัตร,เวียงตาล,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดลำปาง
NCGPAY00463,NCG00277,1.83202E+12,วรเมธ,เข็มทอง,หญิง,15/08/2020,1.90509E+12,ชยพล,จิตมั่น,มีชีวิตและเลี้ยงดูเด็ก,6.47142E+12,กมลชนก,ภูมิใจ,เสียชีวิต,1.90509E+12,ชยพล,จิตมั่น,บิดา,,,11/10/2020,4/11/2020,4/11/2020,4/01/2021,2,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,7,85300,หน่วยบริการเคลื่อนที่,อุดรธานี,นายูง,โนนทอง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดอุดรธานี
NCGPAY00185,NCG00185,8.94712E+12,วราภรณ์,ใจดี,หญิง,16/06/2020,3.2005E+12,ธนภัทร,แสงจันทร์,มีชีวิตแต่ไม่ได้เลี้ยงดู,7.55196E+12,อรวรรณ,แสงจันทร์,มีชีวิตและเลี้ยงดูเด็ก,7.55196E+12,อรวรรณ,แสงจันทร์,มารดา,,,22/11/2020,11/12/2020,11/12/2020,6/01/2021,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,5,71600,เจ้าหน้าที่ช่วยลงทะเบียน,นนทบุรี,เมืองนนทบุรี,สวนใหญ่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดนนทบุรี
NCGPAY00057,NCG00057,6.63168E+12,วายุ,ทองมาก,หญิง,7/07/2020,1.76554E+12,ภูวดล,คงเจริญ,มีชีวิตและเลี้ยงดูเด็ก,7.68477E+12,กัญญารัตน์,สวัสดิผล,มีชีวิตและเลี้ยงดูเด็ก,7.68477E+12,กัญญารัตน์,สวัสดิผล,มารดา,,,11/11/2020,6/12/2020,6/12/2020,8/01/2021,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,5,77400,ระบบออนไลน์,นครสวรรค์,ไพศาลี,วังข่อย,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดนครสวรรค์
NCGPAY00302,NCG00234,6.15424E+12,พิชญาภา,ภูมิใจ,ชาย,3/09/2020,3.53987E+12,ธนกฤต,เกษมสุข,มีชีวิตและเลี้ยงดูเด็ก,6.62909E+12,นิตยา,บุญส่ง,มีชีวิตและเลี้ยงดูเด็ก,6.62909E+12,นิตยา,บุญส่ง,มารดา,,,11/10/2020,9/11/2020,9/11/2020,11/01/2021,2,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,7,90400,ระบบออนไลน์,พัทลุง,ศรีนครินทร์,ชุมพล,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดพัทลุง
NCGPAY00112,NCG00112,3.61578E+12,ธิดารัตน์,เรืองฤทธิ์,ชาย,9/07/2020,5.18872E+12,อาทิตย์,พิพัฒน์กุล,มีชีวิตแต่ไม่ได้เลี้ยงดู,3.49277E+12,ชุติมา,พิพัฒน์กุล,มีชีวิตและเลี้ยงดูเด็ก,3.49277E+12,ชุติมา,พิพัฒน์กุล,มารดา,,,21/12/2020,29/12/2020,29/12/2020,19/01/2021,1,1800,จ่ายย้อนหลังรวมหลายงวด,โอนเข้าบัญชีธนาคาร,6,82900,ลงทะเบียน ณ หน่วยรับลงทะเบียน,พระนครศรีอยุธยา,บางบาล,ไทรน้อย,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดพระนครศรีอยุธยา
