case_id,citizen_id,first_name,last_name,gender,birth_date,target_group,problem_type,request_date,assistance_date,assistance_type,case_source,urgency_level,case_result,close_date,channel,province,district,agency
SOC00045,5076148346258,สิทธิโชค,ปัญญาดี,ชาย,1951-12-09,ผู้สูงอายุ,หนี้สินครัวเรือน,2024-03-17,2024-03-27,ช่วยเหลือเงินสงเคราะห์,เครือข่ายชุมชนแจ้ง,ปกติ,ติดตามผลและปิดเคส,2024-03-31,เครือข่ายชุมชน,ฉะเชิงเทรา,คลองใหม่,ศูนย์คุ้มครองคนไร้ที่พึ่ง
SOC00046,1287022820071,กาญจนา,โชคชัย,ชาย,1966-05-18,ผู้มีรายได้น้อย,ขาดผู้ดูแล,2022-03-02,2022-03-04,ให้คำปรึกษา,เครือข่ายชุมชนแจ้ง,เร่งด่วน,ช่วยเหลือและปิดเคส,2022-03-26,Walk-in,เชียงใหม่,แม่ริม,บ้านพักเด็กและครอบครัว
SOC00047,6305001939581,สุชาดา,มงคลชัย,ชาย,2001-11-07,สตรีและครอบครัว,ขาดผู้ดูแล,2025-11-17,2025-11-22,ประสานส่งต่อหน่วยงาน,เครือข่ายชุมชนแจ้ง,ปกติ,ช่วยเหลือและปิดเคส,2025-11-22,เครือข่ายชุมชน,แพร่,เมือง,ศูนย์คุ้มครองคนไร้ที่พึ่ง
SOC00048,3950591975773,ชยุต,จันทร์หอม,หญิง,1953-11-23,ผู้สูงอายุ,หนี้สินครัวเรือน,2022-05-31,2022-06-03,ให้คำปรึกษา,ประชาชนแจ้งด้วยตนเอง,ปกติ,ให้คำปรึกษาและปิดเคส,2022-06-21,หน่วยงานส่งต่อ,ราชบุรี,เมือง,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ
SOC00049,7232545485018,ศุภชัย,จิตมั่น,ชาย,1982-04-11,ผู้มีรายได้น้อย,รายได้ไม่เพียงพอ,2022-03-21,2022-04-06,ช่วยเหลือเงินสงเคราะห์,ญาติ/ครอบครัวแจ้ง,ปกติ,ส่งต่อหน่วยงานและปิดเคส,2022-05-04,Walk-in,ลพบุรี,ทุ่งสุข,ศูนย์ช่วยเหลือสังคม 1300
SOC00050,4130455906299,รุจิรา,วัฒนกุล,ชาย,1970-12-07,ผู้ประสบปัญหาทางสังคมทั่วไป,ที่อยู่อาศัย,2022-06-03,2022-06-07,ช่วยเหลือเงินสงเคราะห์,ประชาชนแจ้งด้วยตนเอง,เร่งด่วน,ช่วยเหลือและปิดเคส,2022-06-25,หน่วยงานส่งต่อ,นครปฐม,ทุ่งสุข,ศูนย์คุ้มครองคนไร้ที่พึ่ง
SOC00051,7569771275880,วาสนา,ศรีสุข,หญิง,1951-09-25,ผู้ประสบปัญหาทางสังคมทั่วไป,ว่างงาน,2023-02-02,2023-02-05,ช่วยเหลือเงินสงเคราะห์,ญาติ/ครอบครัวแจ้ง,ปกติ,ติดตามผลและปิดเคส,2023-02-10,เครือข่ายชุมชน,อุตรดิตถ์,หนองกลาง,บ้านพักเด็กและครอบครัว
SOC00052,4742535924346,วรัญญา,สุขเกษม,หญิง,1967-08-09,ผู้มีรายได้น้อย,ปัญหาสุขภาพและการดำรงชีพ,2026-04-18,2026-04-27,จัดหาที่พักชั่วคราว,เครือข่ายชุมชนแจ้ง,ปกติ,ช่วยเหลือและปิดเคส,2026-05-04,เครือข่ายชุมชน,ตราด,คลองใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
SOC00053,5538779952867,พงศกร,โพธิ์ทอง,ชาย,2006-11-20,เด็กและเยาวชน,ปัญหาสุขภาพและการดำรงชีพ,2026-04-14,2026-04-25,ให้คำปรึกษา,ญาติ/ครอบครัวแจ้ง,ปกติ,ให้คำปรึกษาและปิดเคส,2026-04-27,ระบบออนไลน์,น่าน,เมือง,บ้านพักเด็กและครอบครัว
SOC00054,5863969138748,กมลชนก,นาคทอง,ชาย,1957-12-19,ผู้สูงอายุ,หนี้สินครัวเรือน,2026-01-29,2026-01-31,ช่วยเหลือเงินสงเคราะห์,ญาติ/ครอบครัวแจ้ง,เร่งด่วน,ให้คำปรึกษาและปิดเคส,2026-02-24,เครือข่ายชุมชน,ฉะเชิงเทรา,ทุ่งสุข,ศูนย์ช่วยเหลือสังคม 1300
SOC00055,5874525905810,ภาคิน,วงศ์คำ,ชาย,1957-03-05,ผู้มีรายได้น้อย,รายได้ไม่เพียงพอ,2023-11-04,2023-11-05,ช่วยเหลือเงินสงเคราะห์,องค์กรปกครองส่วนท้องถิ่นส่งต่อ,ฉุกเฉิน,ให้คำปรึกษาและปิดเคส,2023-11-07,หน่วยงานส่งต่อ,พิจิตร,ทุ่งสุข,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
SOC00056,1005015899325,กมลชนก,สุทธิวงศ์,หญิง,1966-03-20,ผู้ประสบปัญหาทางสังคมทั่วไป,ปัญหาสุขภาพและการดำรงชีพ,2022-02-06,2022-02-11,ประสานส่งต่อหน่วยงาน,หน่วยงานภาครัฐส่งต่อ,ปกติ,ส่งต่อหน่วยงานและปิดเคส,2022-02-13,เครือข่ายชุมชน,ลำพูน,บ้านใหม่,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ
SOC00057,7200506975946,อรทัย,สวัสดิผล,ชาย,1978-08-05,คนพิการ,ว่างงาน,2023-07-19,2023-07-23,ช่วยเหลือเงินสงเคราะห์,เครือข่ายชุมชนแจ้ง,เร่งด่วน,ติดตามผลและปิดเคส,2023-08-12,สายด่วน พม. 1300,สระบุรี,คลองใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
SOC00058,1119003715413,อัญชลี,พิทักษ์วงศ์,หญิง,1960-02-02,ผู้สูงอายุ,หนี้สินครัวเรือน,2022-05-21,2022-05-23,ช่วยเหลือเงินสงเคราะห์,องค์กรปกครองส่วนท้องถิ่นส่งต่อ,เร่งด่วน,ให้คำปรึกษาและปิดเคส,2022-05-30,สายด่วน พม. 1300,ร้อยเอ็ด,ทุ่งสุข,ศูนย์ช่วยเหลือสังคม 1300
SOC00059,5467617875522,จันทร์เพ็ญ,ไชยวงศ์,หญิง,1949-03-27,ผู้สูงอายุ,ประสบเหตุฉุกเฉิน,2026-03-21,2026-04-11,ช่วยเหลือเงินสงเคราะห์,ประชาชนแจ้งด้วยตนเอง,ปกติ,ติดตามผลและปิดเคส,2026-04-25,สายด่วน พม. 1300,เชียงราย,เมืองเชียงราย,บ้านพักเด็กและครอบครัว
SOC00060,4649540570562,รวิศ,บุญธรรม,ชาย,1944-11-03,ผู้สูงอายุ,หนี้สินครัวเรือน,2026-05-27,2026-05-30,ช่วยเหลือเงินสงเคราะห์,ญาติ/ครอบครัวแจ้ง,ปกติ,ช่วยเหลือและปิดเคส,2026-06-03,สายด่วน พม. 1300,ลพบุรี,หนองกลาง,ศูนย์ช่วยเหลือสังคม 1300
SOC00061,8561834889023,ชยุต,พึ่งบุญ,ชาย,1959-03-16,คนไร้ที่พึ่ง,ปัญหาสุขภาพและการดำรงชีพ,2025-08-17,2025-08-26,จัดหาที่พักชั่วคราว,องค์กรปกครองส่วนท้องถิ่นส่งต่อ,ปกติ,ให้คำปรึกษาและปิดเคส,2025-09-19,หน่วยงานส่งต่อ,นครราชสีมา,ปากช่อง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
SOC00062,7069019795497,ชยพล,สุวรรณศรี,ชาย,1992-03-16,ผู้ประสบปัญหาทางสังคมทั่วไป,ความรุนแรงในครอบครัว,2025-10-15,2025-10-30,ช่วยเหลือเงินสงเคราะห์,สายด่วน พม. 1300,ปกติ,ช่วยเหลือและปิดเคส,2025-11-07,หน่วยงานส่งต่อ,ร้อยเอ็ด,หนองกลาง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
SOC00063,4809391044889,ชไมพร,สุขใจ,ชาย,1961-02-24,ผู้ประสบปัญหาทางสังคมทั่วไป,รายได้ไม่เพียงพอ,2024-02-27,2024-03-11,ช่วยเหลือเงินสงเคราะห์,องค์กรปกครองส่วนท้องถิ่นส่งต่อ,ปกติ,ช่วยเหลือและปิดเคส,2024-03-14,หน่วยงานส่งต่อ,ลพบุรี,คลองใหม่,ศูนย์คุ้มครองคนไร้ที่พึ่ง
SOC00064,8947118853604,วนิดา,แสนดี,ชาย,1949-03-17,ผู้สูงอายุ,หนี้สินครัวเรือน,2023-10-30,2023-10-31,ช่วยเหลือด้านที่อยู่อาศัย,ญาติ/ครอบครัวแจ้ง,ฉุกเฉิน,ส่งต่อหน่วยงานและปิดเคส,2023-11-11,Walk-in,มหาสารคาม,ทุ่งสุข,บ้านพักเด็กและครอบครัว
